R4,R3,R2b,R2
Account,Account,Account,Account
,Account.balance,Account.balance,Account.balance
Account.identifier,Account.identifier,Account.identifier,Account.identifier
Account.name,Account.name,Account.name,Account.name
Account.owner,Account.owner,Account.owner,Account.owner
Account.patient,Account.patient,Account.patient,Account.patient
Account.period,Account.period,Account.period,Account.period
Account.status,Account.status,Account.status,Account.status
Account.subject,Account.subject,Account.subject,Account.subject
Account.type,Account.type,Account.type,Account.type
ActivityDefinition,ActivityDefinition,,
ActivityDefinition.composed-of,ActivityDefinition.composed-of,,
ActivityDefinition.context,,,
ActivityDefinition.context-quantity,,,
ActivityDefinition.context-type,,,
ActivityDefinition.context-type-quantity,,,
ActivityDefinition.context-type-value,,,
ActivityDefinition.date,ActivityDefinition.date,,
ActivityDefinition.depends-on,ActivityDefinition.depends-on,,
ActivityDefinition.derived-from,ActivityDefinition.derived-from,,
ActivityDefinition.description,ActivityDefinition.description,,
ActivityDefinition.effective,ActivityDefinition.effective,,
ActivityDefinition.identifier,ActivityDefinition.identifier,,
ActivityDefinition.jurisdiction,ActivityDefinition.jurisdiction,,
ActivityDefinition.name,ActivityDefinition.name,,
ActivityDefinition.predecessor,ActivityDefinition.predecessor,,
ActivityDefinition.publisher,ActivityDefinition.publisher,,
ActivityDefinition.status,ActivityDefinition.status,,
ActivityDefinition.successor,ActivityDefinition.successor,,
ActivityDefinition.title,ActivityDefinition.title,,
ActivityDefinition.topic,ActivityDefinition.topic,,
ActivityDefinition.url,ActivityDefinition.url,,
ActivityDefinition.version,ActivityDefinition.version,,
AdverseEvent,AdverseEvent,,
AdverseEvent.actuality,,,
AdverseEvent.category,AdverseEvent.category,,
AdverseEvent.date,AdverseEvent.date,,
AdverseEvent.event,,,
AdverseEvent.location,AdverseEvent.location,,
AdverseEvent.recorder,AdverseEvent.recorder,,
AdverseEvent.resultingcondition,AdverseEvent.reaction,,
AdverseEvent.seriousness,AdverseEvent.seriousness,,
AdverseEvent.severity,,,
AdverseEvent.study,AdverseEvent.study,,
AdverseEvent.subject,AdverseEvent.subject,,
AdverseEvent.substance,AdverseEvent.substance,,
,AdverseEvent.type,,
AllergyIntolerance,AllergyIntolerance,AllergyIntolerance,AllergyIntolerance
AllergyIntolerance.asserter,AllergyIntolerance.asserter,AllergyIntolerance.reporter,AllergyIntolerance.reporter
AllergyIntolerance.category,AllergyIntolerance.category,AllergyIntolerance.category,AllergyIntolerance.category
AllergyIntolerance.clinical-status,AllergyIntolerance.clinical-status,AllergyIntolerance.status,AllergyIntolerance.status
AllergyIntolerance.code,AllergyIntolerance.code,AllergyIntolerance.substance,AllergyIntolerance.substance
AllergyIntolerance.criticality,AllergyIntolerance.criticality,AllergyIntolerance.criticality,AllergyIntolerance.criticality
AllergyIntolerance.date,AllergyIntolerance.date,AllergyIntolerance.date,AllergyIntolerance.date
AllergyIntolerance.identifier,AllergyIntolerance.identifier,AllergyIntolerance.identifier,AllergyIntolerance.identifier
AllergyIntolerance.last-date,AllergyIntolerance.last-date,AllergyIntolerance.last-date,AllergyIntolerance.last-date
AllergyIntolerance.manifestation,AllergyIntolerance.manifestation,AllergyIntolerance.manifestation,AllergyIntolerance.manifestation
AllergyIntolerance.onset,AllergyIntolerance.onset,AllergyIntolerance.onset,AllergyIntolerance.onset
AllergyIntolerance.patient,AllergyIntolerance.patient,AllergyIntolerance.patient,AllergyIntolerance.patient
AllergyIntolerance.recorder,AllergyIntolerance.recorder,AllergyIntolerance.recorder,AllergyIntolerance.recorder
AllergyIntolerance.route,AllergyIntolerance.route,AllergyIntolerance.route,AllergyIntolerance.route
AllergyIntolerance.severity,AllergyIntolerance.severity,AllergyIntolerance.severity,AllergyIntolerance.severity
AllergyIntolerance.type,AllergyIntolerance.type,AllergyIntolerance.type,AllergyIntolerance.type
AllergyIntolerance.verification-status,AllergyIntolerance.verification-status,,
Appointment,Appointment,Appointment,Appointment
Appointment.actor,Appointment.actor,Appointment.actor,Appointment.actor
Appointment.appointment-type,Appointment.appointment-type,Appointment.appointment-type,
Appointment.based-on,Appointment.incomingreferral,,
Appointment.date,Appointment.date,Appointment.date,Appointment.date
Appointment.identifier,Appointment.identifier,Appointment.identifier,Appointment.identifier
Appointment.location,Appointment.location,Appointment.location,Appointment.location
Appointment.part-status,Appointment.part-status,Appointment.part-status,Appointment.part-status
Appointment.patient,Appointment.patient,Appointment.patient,Appointment.patient
Appointment.practitioner,Appointment.practitioner,Appointment.practitioner,Appointment.practitioner
Appointment.reason-code,,,
Appointment.reason-reference,,,
Appointment.service-category,,,
Appointment.service-type,Appointment.service-type,Appointment.service-type,
Appointment.slot,,,
Appointment.specialty,,,
Appointment.status,Appointment.status,Appointment.status,Appointment.status
Appointment.supporting-info,,,
AppointmentResponse,AppointmentResponse,AppointmentResponse,AppointmentResponse
AppointmentResponse.actor,AppointmentResponse.actor,AppointmentResponse.actor,AppointmentResponse.actor
AppointmentResponse.appointment,AppointmentResponse.appointment,AppointmentResponse.appointment,AppointmentResponse.appointment
AppointmentResponse.identifier,AppointmentResponse.identifier,AppointmentResponse.identifier,AppointmentResponse.identifier
AppointmentResponse.location,AppointmentResponse.location,AppointmentResponse.location,AppointmentResponse.location
AppointmentResponse.part-status,AppointmentResponse.part-status,AppointmentResponse.part-status,AppointmentResponse.part-status
AppointmentResponse.patient,AppointmentResponse.patient,AppointmentResponse.patient,AppointmentResponse.patient
AppointmentResponse.practitioner,AppointmentResponse.practitioner,AppointmentResponse.practitioner,AppointmentResponse.practitioner
AuditEvent,AuditEvent,AuditEvent,AuditEvent
AuditEvent.action,AuditEvent.action,AuditEvent.action,AuditEvent.action
AuditEvent.address,AuditEvent.address,AuditEvent.address,AuditEvent.address
AuditEvent.agent,AuditEvent.agent,AuditEvent.agent,
AuditEvent.agent-name,AuditEvent.agent-name,AuditEvent.agent-name,
AuditEvent.agent-role,AuditEvent.agent-role,,
AuditEvent.altid,AuditEvent.altid,AuditEvent.altid,AuditEvent.altid
AuditEvent.date,AuditEvent.date,AuditEvent.date,AuditEvent.date
AuditEvent.entity,AuditEvent.entity,AuditEvent.entity,
,AuditEvent.entity-id,AuditEvent.entity-id,AuditEvent.identity
AuditEvent.entity-name,AuditEvent.entity-name,AuditEvent.entity-name,AuditEvent.name
AuditEvent.entity-role,AuditEvent.entity-role,,
AuditEvent.entity-type,AuditEvent.entity-type,AuditEvent.entity-type,AuditEvent.object-type
AuditEvent.outcome,AuditEvent.outcome,,
AuditEvent.patient,AuditEvent.patient,AuditEvent.patient,AuditEvent.patient
AuditEvent.policy,AuditEvent.policy,AuditEvent.policy,AuditEvent.policy
,,,AuditEvent.reference
AuditEvent.site,AuditEvent.site,AuditEvent.site,AuditEvent.site
